experiment_name,experiment_date,cluster_name,gpu_type,gpu_memory,collective,operation,algorithm,num_nodes,num_gpus,num_channels,num_chunks,buffer_size,gpus_as_nodes,iteration,message_size,count,dtype,redop,root,oop_time,oop_alg_bw,oop_bus_bw,oop_num_wrong,ip_time,ip_alg_bw,ip_bus_bw,ip_num_wrong
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,16,64,1,4,1,false,0,16777216,4194304,float,sum,-1,5954.1,2.82,5.55,0,5961.7,2.81,5.54,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,16,64,1,4,1,false,0,33554432,8388608,float,sum,-1,10608.0,3.16,6.23,0,10507.0,3.19,6.29,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,16,64,1,4,1,false,0,67108864,16777216,float,sum,-1,19577.0,3.43,6.75,0,19612.0,3.42,6.74,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,16,64,1,4,1,false,0,134217728,33554432,float,sum,-1,57182.0,2.35,4.62,0,53747.0,2.5,4.92,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,16,64,1,4,1,false,0,268435456,67108864,float,sum,-1,85500.0,3.14,6.18,0,82880.0,3.24,6.38,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,8,32,2,16,4,false,0,65536,16384,float,sum,-1,405.4,0.16,0.31,0,401.2,0.16,0.32,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,8,32,2,16,4,false,0,131072,32768,float,sum,-1,412.4,0.32,0.62,0,4628.9,0.03,0.05,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,8,32,2,16,4,false,0,262144,65536,float,sum,-1,13053.0,0.02,0.04,0,4629.4,0.06,0.11,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,8,32,2,16,4,false,0,524288,131072,float,sum,-1,451.2,1.16,2.25,0,445.3,1.18,2.28,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,8,32,2,16,4,false,0,1048576,262144,float,sum,-1,509.3,2.06,3.99,0,502.7,2.09,4.04,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,8,32,2,16,4,false,0,2097152,524288,float,sum,-1,652.7,3.21,6.23,0,649.5,3.23,6.26,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,8,32,2,16,4,false,0,4194304,1048576,float,sum,-1,1042.3,4.02,7.8,0,1041.2,4.03,7.81,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,8,32,2,16,4,false,0,8388608,2097152,float,sum,-1,1896.1,4.42,8.57,0,1893.2,4.43,8.58,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,8,32,2,16,4,false,0,16777216,4194304,float,sum,-1,3654.1,4.59,8.9,0,3629.4,4.62,8.96,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,8,32,2,16,4,false,0,33554432,8388608,float,sum,-1,7302.0,4.6,8.9,0,7267.9,4.62,8.95,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,8,32,2,16,4,false,0,67108864,16777216,float,sum,-1,15573.0,4.31,8.35,0,15475.0,4.34,8.4,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,8,32,2,16,4,false,0,134217728,33554432,float,sum,-1,43047.0,3.12,6.04,0,34830.0,3.85,7.47,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,8,32,2,16,4,false,0,268435456,67108864,float,sum,-1,75848.0,3.54,6.86,0,82525.0,3.25,6.3,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,1,16,4,false,0,65536,16384,float,sum,-1,364.8,0.18,0.34,0,366.2,0.18,0.34,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,1,16,4,false,0,131072,32768,float,sum,-1,441.6,0.3,0.56,0,378.7,0.35,0.65,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,1,16,4,false,0,262144,65536,float,sum,-1,396.2,0.66,1.24,0,391.8,0.67,1.25,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,1,16,4,false,0,524288,131072,float,sum,-1,424.7,1.23,2.31,0,423.2,1.24,2.32,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,1,16,4,false,0,1048576,262144,float,sum,-1,498.5,2.1,3.94,0,505.0,2.08,3.89,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,1,16,4,false,0,2097152,524288,float,sum,-1,643.2,3.26,6.11,0,639.8,3.28,6.15,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,1,16,4,false,0,4194304,1048576,float,sum,-1,978.8,4.29,8.03,0,991.7,4.23,7.93,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,1,16,4,false,0,8388608,2097152,float,sum,-1,1780.6,4.71,8.83,0,1772.0,4.73,8.88,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,1,16,4,false,0,16777216,4194304,float,sum,-1,3479.1,4.82,9.04,0,3486.8,4.81,9.02,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,1,16,4,false,0,33554432,8388608,float,sum,-1,7194.3,4.66,8.75,0,7156.3,4.69,8.79,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,1,16,4,false,0,67108864,16777216,float,sum,-1,14943.0,4.49,8.42,0,14934.0,4.49,8.43,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,1,16,4,false,0,134217728,33554432,float,sum,-1,30258.0,4.44,8.32,0,30173.0,4.45,8.34,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,1,16,4,false,0,268435456,67108864,float,sum,-1,62784.0,4.28,8.02,0,63469.0,4.23,7.93,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,64,1,false,0,65536,16384,float,sum,-1,993.4,0.07,0.12,0,981.1,0.07,0.13,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,64,1,false,0,131072,32768,float,sum,-1,992.2,0.13,0.25,0,5168.3,0.03,0.05,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,64,1,false,0,262144,65536,float,sum,-1,5093.0,0.05,0.1,0,1012.6,0.26,0.49,0
