experiment_name,experiment_date,cluster_name,gpu_type,gpu_memory,collective,operation,algorithm,num_nodes,num_gpus,num_channels,num_chunks,buffer_size,gpus_as_nodes,iteration,message_size,count,dtype,redop,root,oop_time,oop_alg_bw,oop_bus_bw,oop_num_wrong,ip_time,ip_alg_bw,ip_bus_bw,ip_num_wrong
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,ring,8,32,1,2,1,false,0,1048576,262144,float,sum,-1,775.8,1.35,2.62,0,783.8,1.34,2.59,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,ring,8,32,1,2,1,false,0,2097152,524288,float,sum,-1,1119.9,1.87,3.63,0,1113.3,1.88,3.65,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,ring,8,32,1,2,1,false,0,4194304,1048576,float,sum,-1,1823.0,2.3,4.46,0,1819.3,2.31,4.47,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,ring,8,32,1,2,1,false,0,8388608,2097152,float,sum,-1,3474.4,2.41,4.68,0,3488.3,2.4,4.66,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,ring,8,32,1,2,1,false,0,16777216,4194304,float,sum,-1,6763.8,2.48,4.81,0,6764.4,2.48,4.81,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,ring,8,32,1,2,1,false,0,33554432,8388608,float,sum,-1,13538.0,2.48,4.8,0,13508.0,2.48,4.81,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,ring,8,32,1,2,1,false,0,67108864,16777216,float,sum,-1,27069.0,2.48,4.8,0,27085.0,2.48,4.8,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,ring,8,32,1,2,1,false,0,134217728,33554432,float,sum,-1,54134.0,2.48,4.8,0,54234.0,2.47,4.79,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,ring,8,32,1,2,1,false,0,268435456,67108864,float,sum,-1,107649.0,2.49,4.83,0,108424.0,2.48,4.8,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,8,32,2,1,4,false,1,65536,16384,float,sum,-1,239.9,0.27,0.53,0,421.9,0.16,0.3,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,8,32,2,1,4,false,1,131072,32768,float,sum,-1,302.2,0.43,0.84,0,302.6,0.43,0.84,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,8,32,2,1,4,false,1,262144,65536,float,sum,-1,528.1,0.5,0.96,0,520.7,0.5,0.98,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,8,32,2,1,4,false,1,524288,131072,float,sum,-1,788.2,0.67,1.29,0,803.5,0.65,1.26,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,8,32,2,1,4,false,1,1048576,262144,float,sum,-1,1459.2,0.72,1.39,0,1461.9,0.72,1.39,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,8,32,2,1,4,false,1,2097152,524288,float,sum,-1,2846.1,0.74,1.43,0,2839.6,0.74,1.43,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,8,32,2,1,4,false,1,4194304,1048576,float,sum,-1,5564.7,0.75,1.46,0,5489.9,0.76,1.48,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,8,32,2,1,4,false,1,8388608,2097152,float,sum,-1,10925.0,0.77,1.49,0,10637.0,0.79,1.53,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,8,32,2,1,4,false,1,16777216,4194304,float,sum,-1,21634.0,0.78,1.5,0,21936.0,0.76,1.48,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,8,32,2,1,4,false,1,33554432,8388608,float,sum,-1,26897.0,1.25,2.42,0,27036.0,1.24,2.4,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,8,32,2,1,4,false,1,67108864,16777216,float,sum,-1,42016.0,1.6,3.09,0,42078.0,1.59,3.09,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,8,32,2,1,4,false,1,134217728,33554432,float,sum,-1,75694.0,1.77,3.44,0,75326.0,1.78,3.45,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,8,32,2,1,4,false,1,268435456,67108864,float,sum,-1,149607.0,1.79,3.48,0,149577.0,1.79,3.48,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,ring,4,16,4,1,1,false,0,65536,16384,float,sum,-1,356.0,0.18,0.35,0,357.3,0.18,0.34,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,ring,4,16,4,1,1,false,0,131072,32768,float,sum,-1,347.4,0.38,0.71,0,348.2,0.38,0.71,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,ring,4,16,4,1,1,false,0,262144,65536,float,sum,-1,361.2,0.73,1.36,0,360.7,0.73,1.36,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,ring,4,16,4,1,1,false,0,524288,131072,float,sum,-1,377.3,1.39,2.61,0,369.3,1.42,2.66,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,ring,4,16,4,1,1,false,0,1048576,262144,float,sum,-1,563.0,1.86,3.49,0,568.2,1.85,3.46,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,ring,4,16,4,1,1,false,0,2097152,524288,float,sum,-1,993.3,2.11,3.96,0,1151.1,1.82,3.42,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,ring,4,16,4,1,1,false,0,4194304,1048576,float,sum,-1,1801.4,2.33,4.37,0,1807.8,2.32,4.35,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,ring,4,16,4,1,1,false,0,8388608,2097152,float,sum,-1,3623.4,2.32,4.34,0,3594.3,2.33,4.38,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,ring,4,16,4,1,1,false,0,16777216,4194304,float,sum,-1,7259.5,2.31,4.33,0,7223.8,2.32,4.35,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,ring,4,16,4,1,1,false,0,33554432,8388608,float,sum,-1,14363.0,2.34,4.38,0,14420.0,2.33,4.36,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,ring,4,16,4,1,1,false,0,67108864,16777216,float,sum,-1,29044.0,2.31,4.33,0,28921.0,2.32,4.35,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,ring,4,16,4,1,1,false,0,134217728,33554432,float,sum,-1,57533.0,2.33,4.37,0,57279.0,2.34,4.39,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,ring,4,16,4,1,1,false,0,268435456,67108864,float,sum,-1,114897.0,2.34,4.38,0,114554.0,2.34,4.39,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,8,32,4,256,2,false,0,65536,16384,float,sum,-1,9113.5,0.01,0.01,0,9097.2,0.01,0.01,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,8,32,4,256,2,false,0,131072,32768,float,sum,-1,9146.2,0.01,0.03,0,9096.3,0.01,0.03,0
